label;parent;candidate;chapter
ales;;<https://opentheso.huma-num.fr/?idc=pcrtZ4cUs2XDls&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtItMnfHySi0&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtoLokxLWm4N&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrty8pOJTSDcI&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtQuZiT5nYY2&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtIMsuG0RWTs&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrts8SiTTY3Ka&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtySN3dH3oKv&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrt2l2q4DKWSm&idt=th310>, <https://opentheso.huma-num.fr/?idc=108375&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrta23FvuKqJw&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrttM3oWb28XX&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtSwwB6hetvN&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtmRPjWUhIEi&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtbME0PA8KDn&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtlgpro7ZkJ6&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtUPQl0dadQ5&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtgG7zDyVQmo&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtybmpzRqqMn&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtA6c6u5nOqA&idt=th310>, <https://opentheso.huma-num.fr/?idc=105213&idt=th310>, <https://opentheso.huma-num.fr/?idc=105587&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtw9Bj1aLvBN&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtbAwx0u8QO9&idt=th310>, <https://opentheso.huma-num.fr/?idc=106610&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtU62NVdJhRb&idt=th310>, <https://opentheso.huma-num.fr/?idc=105534&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtgaH8XYn0Aa&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtu1Srs8qhIX&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtkYAHhanOd1&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtDdaWs7Sw7d&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtScJgHyie6m&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtD8ZgmPc9yv&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtNdxim8PdsR&idt=th310>, <https://opentheso.huma-num.fr/?idc=105586&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtVQP2aMvvBs&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrt0g0GZxKWtr&idt=th310>, <https://opentheso.huma-num.fr/?idc=107175&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrt2GTQwujfcB&idt=th310>;PLINE-10-annoteIPL
ales;ancient class;<https://opentheso.huma-num.fr/?idc=pcrtZ4cUs2XDls&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtItMnfHySi0&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtoLokxLWm4N&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrty8pOJTSDcI&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtQuZiT5nYY2&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtIMsuG0RWTs&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrts8SiTTY3Ka&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtySN3dH3oKv&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrt2l2q4DKWSm&idt=th310>,<https://opentheso.huma-num.fr/?idc=108375&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrta23FvuKqJw&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrttM3oWb28XX&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtSwwB6hetvN&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtmRPjWUhIEi&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtbME0PA8KDn&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtlgpro7ZkJ6&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtUPQl0dadQ5&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtgG7zDyVQmo&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtybmpzRqqMn&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtA6c6u5nOqA&idt=th310>,<https://opentheso.huma-num.fr/?idc=105213&idt=th310>,<https://opentheso.huma-num.fr/?idc=105587&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtw9Bj1aLvBN&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtbAwx0u8QO9&idt=th310>,<https://opentheso.huma-num.fr/?idc=106610&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtU62NVdJhRb&idt=th310>,<https://opentheso.huma-num.fr/?idc=105534&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtgaH8XYn0Aa&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtu1Srs8qhIX&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtkYAHhanOd1&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtDdaWs7Sw7d&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtScJgHyie6m&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtD8ZgmPc9yv&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtNdxim8PdsR&idt=th310>,<https://opentheso.huma-num.fr/?idc=105586&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtVQP2aMvvBs&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrt0g0GZxKWtr&idt=th310>,<https://opentheso.huma-num.fr/?idc=107175&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrt2GTQwujfcB&idt=th310>;PLINE-10-annoteIPL
Crassus;;<https://opentheso.huma-num.fr/?idc=107451&idt=th310>, <https://opentheso.huma-num.fr/?idc=108004&idt=th310>;PLINE-10-annoteIPL
Publius Licinius;;<https://opentheso.huma-num.fr/?idc=107453&idt=th310>, <https://opentheso.huma-num.fr/?idc=108004&idt=th310>;PLINE-10-annoteIPL
Cornelius;;<https://opentheso.huma-num.fr/?idc=105852&idt=th310>, <https://opentheso.huma-num.fr/?idc=108006&idt=th310>, <https://opentheso.huma-num.fr/?idc=108008&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtj57abiieSj&idt=th310>;PLINE-10-annoteIPL
Cnaeus;;<https://opentheso.huma-num.fr/?idc=108006&idt=th310>, <https://opentheso.huma-num.fr/?idc=107014&idt=th310>;PLINE-10-annoteIPL
place;;<https://opentheso.huma-num.fr/?idc=pcrtSxe2PZMWR8&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtjMViY6Mka1&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtKjVnonMg0S&idt=th310>, <https://opentheso.huma-num.fr/?idc=107059&idt=th310>, <https://opentheso.huma-num.fr/?idc=105497&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrt20EsS32aXe&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtY20DKUZ2AS&idt=th310>;PLINE-10-annoteIPL
Egypt;;<https://opentheso.huma-num.fr/?idc=pcrtHkghFgZsm5&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrthXXh88hk3L&idt=th310>, <https://opentheso.huma-num.fr/?idc=105996&idt=th310>, <https://opentheso.huma-num.fr/?idc=107834&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtM6FrOydySh&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtQMHETt6xbd&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrt2BDKjpw0Vt&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtVI8YSX3OEW&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtjzFLasV5Rz&idt=th310>, <https://opentheso.huma-num.fr/?idc=105705&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrteTmxQqHW7Z&idt=th310>, <https://opentheso.huma-num.fr/?idc=105670&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrt1VRd5ZcUUi&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtbnSR4wmy5f&idt=th310>;PLINE-10-annoteIPL
Egypt;place;<https://opentheso.huma-num.fr/?idc=pcrtHkghFgZsm5&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrthXXh88hk3L&idt=th310>,<https://opentheso.huma-num.fr/?idc=105996&idt=th310>,<https://opentheso.huma-num.fr/?idc=107834&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtM6FrOydySh&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtQMHETt6xbd&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrt2BDKjpw0Vt&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtVI8YSX3OEW&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtjzFLasV5Rz&idt=th310>,<https://opentheso.huma-num.fr/?idc=105705&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrteTmxQqHW7Z&idt=th310>,<https://opentheso.huma-num.fr/?idc=105670&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrt1VRd5ZcUUi&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtbnSR4wmy5f&idt=th310>;PLINE-10-annoteIPL
Quintus;;<https://opentheso.huma-num.fr/?idc=108219&idt=th310>, <https://opentheso.huma-num.fr/?idc=106490&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtdE5GlRZzAW&idt=th310>, <https://opentheso.huma-num.fr/?idc=105851&idt=th310>, <https://opentheso.huma-num.fr/?idc=107455&idt=th310>, <https://opentheso.huma-num.fr/?idc=108010&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtZsaxnlRdBj&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtXpj0WifZRB&idt=th310>;PLINE-10-annoteIPL
