annotation;text;concept;chapter
locomotion form;volare quidem aliqua et animatu carere in ipso spiritu viventia;https://opentheso.huma-num.fr/?idc=105379&idt=th310;PLINE-11-annotéIPL
flying;volare quidem aliqua et animatu carere in ipso spiritu viventia;https://opentheso.huma-num.fr/?idc=105383&idt=th310;PLINE-11-annotéIPL
hunger;habere sensum victus;https://opentheso.huma-num.fr/?idc=105840&idt=th310;PLINE-11-annotéIPL
reproduction;generationis;https://opentheso.huma-num.fr/?idc=105248&idt=th310;PLINE-11-annotéIPL
work;operis;https://opentheso.huma-num.fr/?idc=107519&idt=th310;PLINE-11-annotéIPL
anticipation capacity;de futuro curam;https://opentheso.huma-num.fr/?idc=107004&idt=th310;PLINE-11-annotéIPL
hearing;auditum;https://opentheso.huma-num.fr/?idc=105405&idt=th310;PLINE-11-annotéIPL
smell;olfactum;https://opentheso.huma-num.fr/?idc=105402&idt=th310;PLINE-11-annotéIPL
sense;quamvis non sint membra quae velut carina sensus invehant, esse tamen iis auditum, olfactum, gustatum;https://opentheso.huma-num.fr/?idc=105253&idt=th310;PLINE-11-annotéIPL
taste;gustatum;https://opentheso.huma-num.fr/?idc=105404&idt=th310;PLINE-11-annotéIPL
intelligence;sollertiam;https://opentheso.huma-num.fr/?idc=105427&idt=th310;PLINE-11-annotéIPL
cunning;sollertiam;https://opentheso.huma-num.fr/?idc=105442&idt=th310;PLINE-11-annotéIPL
courage;animum;https://opentheso.huma-num.fr/?idc=105417&idt=th310;PLINE-11-annotéIPL
technical capacity;artem;https://opentheso.huma-num.fr/?idc=105453&idt=th310;PLINE-11-annotéIPL
blood;sanguinem non esse iis fateor;https://opentheso.huma-num.fr/?idc=105186&idt=th310;PLINE-11-annotéIPL
not blooded;sanguinem non esse iis fateor;https://opentheso.huma-num.fr/?idc=105780&idt=th310;PLINE-11-annotéIPL
terrestrial;sic ut terrestribus quidem, cunctis inter se similem;https://opentheso.huma-num.fr/?idc=105781&idt=th310;PLINE-11-annotéIPL
